,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-2467,9,10,18,30,8,0,7,0,45,0,0,14,0,8,13,0,25,0,0,0,10,0,0,12,10,19,18,0,7,11
hsa-mir-296,9,18,52,5,30,21,0,0,19,0,0,0,0,0,0,0,9,0,0,0,41,0,0,7,38,31,0,0,25,0
hsa-mir-548j,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,15,0,0,0
hsa-mir-659,6,42,94,34,44,33,22,0,43,0,0,8,0,9,60,12,84,0,0,0,51,0,0,61,29,59,66,16,35,22
hsa-mir-191,9544,49334,83685,77411,52210,36550,32990,1625,64493,1639,1965,7301,2225,15259,50167,34054,123944,1929,11282,14,49361,11080,38,57129,49780,57960,117417,19610,74696,77989
hsa-mir-1255a,0,7,11,0,0,0,0,0,7,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,0,8,0,0,23,0
hsa-mir-3688-1,0,0,7,6,9,11,0,0,0,0,0,0,0,0,7,0,10,0,0,0,9,0,0,0,9,17,7,0,0,5
hsa-mir-582,45,85,176,277,79,19,53,6,337,6,0,48,0,48,109,37,215,8,30,0,19,27,0,45,66,21,25,0,187,74
hsa-mir-9-2,0,89,939,60,9,11,10,0,47,0,0,0,11,0,223,46,0,118,230,0,62,13,0,93,13,10,26,0,55,23
hsa-mir-2277,0,34,19,15,18,20,10,0,22,0,0,0,0,0,11,13,0,0,0,0,27,0,0,23,0,27,27,12,22,12
hsa-mir-874,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,70,0,64,0,0,0
hsa-mir-584,71,293,53,683,7,41,27,0,676,18,0,28,0,74,210,235,276,9,116,0,11,89,0,239,8,186,1020,0,1352,1441
